"team","team_region","round","fte_prob","seed","crowd_prob","fte_ep","crowd_ep","delta","evoc"
"Xavier","East","NCG",0.04220385,"2",0.057,13.0831935,17.67,-4.5868065,-0.193580893505025
"Oregon","West","title",0.02559974,"1",0.038,16.1278362,23.94,-7.8121638,-0.199989362117412
"Utah","Midwest","title",0.00817745,"3",0.053,5.1517935,33.39,-28.2382065,-0.230916521743425
"Notre Dame","East","R16",0.22555949,"6",0.26,6.7667847,7.8,-1.0332153,-0.233051516128197
"Texas","West","R8",0.12683644,"6",0.157,8.8785508,10.99,-2.1114492,-0.267808699768848
"Temple","South","R32",0.27805979,"10",0.38,2.7805979,3.8,-1.0194021,-0.283454733851559
"Michigan State","Midwest","R32",0.9485191,"2",0.979,9.485191,9.79,-0.304809000000001,-0.2891171583519
"Xavier","East","R32",0.94127341,"2",0.974,9.4127341,9.74,-0.3272659,-0.308046689669719
"Miami","South","NCG",0.02505378,"3",0.066,7.7666718,20.46,-12.6933282,-0.318015852190596
"Notre Dame","East","R32",0.6621377,"6",0.712,6.621377,7.12,-0.498623,-0.3301570863871
"West Virginia","East","R16",0.63096464,"3",0.649,18.9289392,19.47,-0.5410608,-0.341390232890112
"Texas Tech","Midwest","R16",0.04701794,"8",0.293,1.4105382,8.79,-7.3794618,-0.346967092144692
"AR-Little Rock","Midwest","R32",0.1580884,"12",0.403,1.580884,4.03,-2.449116,-0.3871768298544
"Dayton","Midwest","R32",0.52355784,"7",0.601,5.2355784,6.01,-0.774421599999999,-0.405454500145344
"Baylor","West","R32",0.61274924,"5",0.687,6.1274924,6.87,-0.742507600000001,-0.454970967594225
"California","South","R32",0.83441016,"4",0.891,8.3441016,8.91,-0.565898399999998,-0.472191374487743
"Connecticut","South","R32",0.63662767,"9",0.711,6.3662767,7.11,-0.743723299999999,-0.47347483160371
"Miami","South","R4",0.04857855,"3",0.118,7.2867825,17.7,-10.4132175,-0.505859006984625
"Iowa State","Midwest","title",0.01029428,"4",0.094,6.4853964,59.22,-52.7346036,-0.542864775147408
"Texas A&M","West","R32",0.88231513,"3",0.949,8.8231513,9.49,-0.666848700000001,-0.588370697430832
"Villanova","South","R8",0.46574837,"2",0.486,32.6023859,34.02,-1.41761409999999,-0.660251456364014
"Seton Hall","Midwest","R32",0.39818101,"6",0.568,3.9818101,5.68,-1.6981899,-0.676186969553799
"Miami","South","R32",0.85764429,"3",0.941,8.5764429,9.41,-0.8335571,-0.714895487203959
"Utah","Midwest","NCG",0.02033589,"3",0.135,6.3041259,41.85,-35.5458741,-0.722856985651449
"Texas","West","R32",0.70010916,"6",0.804,7.0010916,8.04,-1.0389084,-0.727349287240944
"Wisconsin","East","R32",0.62883547,"7",0.749,6.2883547,7.49,-1.2016453,-0.755637186998792
"West Virginia","East","R32",0.84810393,"3",0.944,8.4810393,9.44,-0.958960700000002,-0.813298338385553
"Utah","Midwest","R32",0.87009917,"3",0.967,8.7009917,9.67,-0.969008300000002,-0.843133317553113
"Duke","West","R32",0.84597916,"4",0.965,8.4597916,9.65,-1.1902084,-1.00689150245694
"Saint Joe's","West","R32",0.39351391,"8",0.664,3.9351391,6.64,-2.7048609,-1.06440038876512
"Iowa State","Midwest","R32",0.84070229,"4",0.971,8.4070229,9.71,-1.3029771,-1.09541583178756
